"Timestamp","What is your age range?","What type of clothing do you shop for?","Pick your favorite design(s):","How often do you shop for new clothes?","What would you pay for a t-shirt?","Where do you make most of your clothing purchases?","Favorite color for clothing:","How do you find out about new brands? ","What type of clothes do you purchase? (add options)","What are you purchasing the most of right now? (maybe?)","Does a product being environmentally friendly affect your purchase decision?","Which of the following do you value most?","What are your favorite sportswear brands (if you have a particular reason, please add)","Any additional thoughts on sportswear or sustainable clothing in general?",""
"2025/02/25 3:38:27 PM AST","18-25","Men's","Option 3","Quarterly","$20-24","Online","Blue","Social Media (Instagram, TikTok)","Basic/Casual","Baisc/Casual","No","Durability/Longevity","","",""
"2025/02/25 3:44:05 PM AST","18-25","Men's","Option 6","Quarterly","$25-29","Online","Grey","Friends/Word of Mouth","Outerwear;Formal/Preppy;Athletic;Basic/Casual","Baisc/Casual","No","Durability/Longevity","","",""
"2025/02/25 3:44:28 PM AST","18-25","Men's","Option 6;Option 8","Annually","$25-29","Online","Blue","Internet/Website Advertising","Outerwear;Formal/Preppy;Athletic;Basic/Casual;Athleisure","Athletic","No","Durability/Longevity","Vuori","",""
"2025/02/25 3:45:36 PM AST","18-25","Men's","Option 5;Option 6","Monthly","$20-24","Storefront","Grey","Social Media (Instagram, TikTok)","Outerwear;Formal/Preppy;Athletic;Basic/Casual;Athleisure","Athleisure","Yes","Durability/Longevity","","",""
"2025/02/25 3:56:04 PM AST","18-25","Men's","Option 5;Option 6;Option 7","Monthly","$25-29","Online","Black","Social Media (Instagram, TikTok)","Outerwear;Athletic;Basic/Casual","Baisc/Casual","Yes","Durability/Longevity","Nike. Their quality is usually top tier and although itâ€™s pretty expensive, my Nike clothes seem to last forever.","",""
"2025/02/25 6:42:14 PM AST","18-25","Women's","Option 7;Option 8","Monthly","$20-24","Storefront","Black","Friends/Word of Mouth","Formal/Preppy;Athletic;Basic/Casual;Athleisure","Formal/Preppy","Yes","Durability/Longevity","","",""
"2025/02/26 4:22:32 PM AST","18-25","Men's","Option 5;Option 6;Option 7","Monthly","$20-24","Storefront","Blue","Internet/Website Advertising","Outerwear;Formal/Preppy;Basic/Casual","Formal/Preppy","Yes","Durability/Longevity","Lululemon","N/a",""
"2025/03/04 3:00:34 PM AST","18-25","Men's","Option 7","Annually","$20-24","Storefront","Blue","Social Media (Instagram, TikTok)","Outerwear;Formal/Preppy;Athletic;Basic/Casual","Baisc/Casual","Yes","Ethical labor practices","","",""
"2025/03/16 5:48:26 PM AST","18-25","Men's","Option 7","Quarterly","$30-34","Storefront","Blue","Internet/Website Advertising","Formal/Preppy;Athletic","Outerwear","Yes","Durability/Longevity","Nike, vuori ","","Option 1"
"2025/03/16 5:52:24 PM AST","Under 18","Men's","Option 6;Option 7","Monthly","$35-40","Events","Black","Social Media (Instagram, TikTok)","Outerwear;Formal/Preppy;Athletic;Basic/Casual","Formal/Preppy","No","Durability/Longevity","North face ","",""
"2025/03/16 6:07:34 PM AST","18-25","Men's","Option 8","Monthly","$46-50","Storefront","White","Physical (Posters, Street Ads, Etc.)","Outerwear;Formal/Preppy;Athletic;Basic/Casual;Athleisure","Outerwear","No","Durability/Longevity","Nike (Super lightweight)","Make it like Industrie - Frank ",""
"2025/03/16 6:17:34 PM AST","18-25","Men's","Option 1;Option 6;Option 7","Quarterly","$25-29","Online","White","Social Media (Instagram, TikTok)","Outerwear;Formal/Preppy;Basic/Casual","Formal/Preppy","Yes","Ethical labor practices","","",""
"2025/03/16 6:18:44 PM AST","18-25","Men's","Option 1;Option 6;Option 8","Annually","$20-24","Online","Grey","Social Media (Instagram, TikTok)","Outerwear;Athletic;Basic/Casual","Athletic","No","Durability/Longevity","Nike, gym shark","",""
"2025/03/16 6:27:30 PM AST","18-25","Men's","Option 3;Option 4;Option 5","Quarterly","$30-34","Online","Blue","Friends/Word of Mouth","Outerwear;Formal/Preppy;Athletic;Basic/Casual;Athleisure","Outerwear","Yes","Durability/Longevity","Vuori, lulu lemon, nike, columbia.","No",""
"2025/03/16 6:47:14 PM AST","18-25","Men's","Option 1;Option 4;Option 6;Option 7;Option 8","Weekly","$35-40","Online","White","Social Media (Instagram, TikTok)","Outerwear;Formal/Preppy;Athletic;Basic/Casual;Athleisure","Baisc/Casual","No","Durability/Longevity","Lulu, Nike, adidas","Na",""
"2025/03/16 6:48:43 PM AST","18-25","Men's","Option 9","Monthly","$30-34","Online","Blue","Internet/Website Advertising","Outerwear;Formal/Preppy","Formal/Preppy","No","Durability/Longevity","","",""
"2025/03/16 6:52:24 PM AST","18-25","Men's","Option 5;Option 7","Monthly","$30-34","Storefront","White","Friends/Word of Mouth","Formal/Preppy;Basic/Casual","Baisc/Casual","No","Durability/Longevity","Lululemon","N/A",""
"2025/03/17 1:00:56 AM AST","18-25","Men's","Option 1;Option 6","Quarterly","$25-29","Online","Blue","Friends/Word of Mouth","Outerwear;Formal/Preppy;Athletic","Formal/Preppy","No","Durability/Longevity","Freefly","",""